"concello","fecha","tMax","tMin","uvMax","estadoCeoManana","direccionVientoManana","intensidadVientoManana"
"Santiago de Compostela","2024-01-29T00:00:00","17","13","2","Chuvasco","Calma","Vento frouxo do Sudoeste (SO)"
"Santiago de Compostela","2024-01-30T00:00:00","17","9","2","Nubes e claros","Vento frouxo do Nordés (NE)","Vento frouxo do Sueste (SE)"
"Santiago de Compostela","2024-01-31T00:00:00","19","9","2","Nubes altas","Vento frouxo do Nordés (NE)","Vento frouxo do Norte (N)"
"Santiago de Compostela","2024-02-01T00:00:00","17","7","2","Despexado","Vento frouxo do Norte (N)","Vento frouxo do Nordés (NE)"
"Vigo","2024-01-29T00:00:00","20","13","2","Anubrado 75%","Vento frouxo do Sueste (SE)","Vento frouxo do Leste (E)"
"Vigo","2024-01-30T00:00:00","19","14","2","Nubes e claros","Calma","Calma"
"Vigo","2024-01-31T00:00:00","20","11","2","Despexado","Calma","Calma"
"Vigo","2024-02-01T00:00:00","20","9","2","Despexado","Calma","Calma"
"Ferrol","2024-01-29T00:00:00","18","15","1","Nubes e claros","Calma","Vento frouxo do Sudoeste (SO)"
"Ferrol","2024-01-30T00:00:00","18","12","1","Nubes e claros","Calma","Calma"
"Ferrol","2024-01-31T00:00:00","19","10","1","Anubrado 75%","Calma","Calma"
"Ferrol","2024-02-01T00:00:00","18","9","1","Nubes e claros","Vento frouxo do Nordés (NE)","Vento frouxo do Nordés (NE)"
"Lugo","2024-01-29T00:00:00","19","8","2","Nubes e claros","Vento frouxo do Sueste (SE)","Vento frouxo do Sur (S)"
"Lugo","2024-01-30T00:00:00","19","4","2","Nubes e claros","Calma","Calma"
"Lugo","2024-01-31T00:00:00","19","4","2","Despexado","Vento frouxo do Noroeste (NO)","Calma"
"Lugo","2024-02-01T00:00:00","18","3","1","Bancos de néboa","Vento frouxo do Noroeste (NO)","Vento frouxo do Noroeste (NO)"
"A Coruña","2024-01-29T00:00:00","20","11","1","Anubrado 75%","Calma","Vento moderado do Sur (S)"
"A Coruña","2024-01-30T00:00:00","19","13","1","Nubes e claros","Calma","Vento frouxo do Sueste (SE)"
"A Coruña","2024-01-31T00:00:00","18","11","1","Nubes e claros","Calma","Calma"
"A Coruña","2024-02-01T00:00:00","17","9","1","Despexado","Calma","Calma"
"Ourense","2024-01-29T00:00:00","21","6","2","Nubes e claros","Calma","Vento variable"
"Ourense","2024-01-30T00:00:00","20","5","2","Nubes e claros","Calma","Calma"
"Ourense","2024-01-31T00:00:00","21","4","2","Despexado","Calma","Calma"
"Ourense","2024-02-01T00:00:00","19","5","2","Despexado","Calma","Calma"
"Pontevedra","2024-01-29T00:00:00","20","9","2","Anubrado 75%","Calma","Vento variable"
"Pontevedra","2024-01-30T00:00:00","20","11","2","Nubes e claros","Calma","Calma"
"Pontevedra","2024-01-31T00:00:00","20","9","2","Despexado","Calma","Calma"
"Pontevedra","2024-02-01T00:00:00","20","9","2","Despexado","Vento frouxo do Norte (N)","Vento frouxo do Norte (N)"
